Файл,Тип кампании,Уровень,ID группы,Название группы,Номер группы,Минус-фраза,Слов,Длина
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-готовый,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-дерево,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-деревянная,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-диплом,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-зарплата,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-зачем,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-значение,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-исходник,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-ищем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-какое,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-карточка товара,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-комментарии,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-косметика,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-куплю готовое,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-курсовая,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-лекарства,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-лучше !чем,2,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-лучший,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-макет,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-маленький тираж,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-малый тираж,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-маркетплейс,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-мастер класс,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-мдф,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-меню,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-мультик,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-мягкая упаковка,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-наклейка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-напитки,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-обзор,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-образец,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-объемная,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-означает,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-озон,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-определение,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-отзывы,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-пакеты,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-парфюмерия,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-пластик,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-пленка пвх,2,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-подарок,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-полиэтилен,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-поставка продуктов,2,19
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-почему,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-презент,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-пример,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-работа,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-развертка,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-резюме,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-рейтинг,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-ресторан,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-реферат,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-розница,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-самому,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-самостоятельно,1,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-сделать самому,2,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-сериал,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-скачать,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-скачать макет,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-смотреть,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-создание карточек,2,18
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-сравнение,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-стикер,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-схема,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-тампопечать,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-термотрансфер,1,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-термоэтикетка,1,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-требуется,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-ультрафиолетовая печать,2,24
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-фанера,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-фарма,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-фильм,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-форум,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-фулфилмент,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-хуже,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-чертеж,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-шаблон,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-шаблон макета,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-шелкография,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-шт,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-штук,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-штучно,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-юла,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-ютуб,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360081,Food & Non-food (Ключи),3,-яндекс маркет,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!как,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!как сделать,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!когда,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!от 1 шт,3,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!своими,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!своими руками,2,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!чего,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!чем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!что,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-!что !такое,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,"-""поставка продуктов в рестораны""",4,33
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-1 шт,2,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-3d,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-3д,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-ai,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-cdr,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-horeca,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-ozon,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-pdf,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-png,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-psd,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-wb,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-wildberries,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-youtube,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-авито,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-алкоголь,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-бесплатно,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-бесплатный макет,2,17
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-бу,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-вайлдберриз,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-вакансии,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-видео,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-википедия,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-вино,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-выкройка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-где,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-готовое решение,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-готовый,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-дерево,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-деревянная,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-дизайнерский,1,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-диплом,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-зарплата,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-зачем,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-значение,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-исходник,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-ищем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-какое,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-карточка товара,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-комментарии,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-куплю готовое,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-курсовая,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-лекарства,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-лучше !чем,2,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-лучший,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-макет,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-маленький тираж,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-малый тираж,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-маркетплейс,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-мастер класс,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-мдф,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-мультик,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-мягкая упаковка,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-наклейка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-обзор,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-образец,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-объемная,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-означает,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-озон,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-определение,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-отзывы,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-пакеты,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-пластик,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-пленка пвх,2,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-подарок,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-полиэтилен,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-почему,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-презент,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-премиум,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-пример,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-работа,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-развертка,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-резюме,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-рейтинг,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-реферат,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-розница,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-самому,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-самостоятельно,1,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-сделать самому,2,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-сериал,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-скачать,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-скачать макет,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-смотреть,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-создание карточек,2,18
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-сравнение,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-стикер,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-схема,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-тампопечать,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-термотрансфер,1,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-термоэтикетка,1,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-требуется,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-ультрафиолетовая печать,2,24
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-фанера,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-фармацевтика,1,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-фильм,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-форум,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-фулфилмент,1,11
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-хуже,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-чертеж,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-шаблон,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-шаблон макета,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-шелкография,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-шт,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-штук,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-штучно,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-эксклюзивный,1,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-юла,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-ютуб,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760360703,Retail и FMCG (Ключи),4,-яндекс маркет,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!как,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!как сделать,2,13
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!когда,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!от 1 шт,3,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!своими,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!своими руками,2,15
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!чего,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!чем,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!что,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-!что !такое,2,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,"-""где можно упаковать подарок саратов октябрьский""",6,50
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,"-""изготовление коробок из дерева""",4,33
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,"-""упаковка подарка в спб рядом""",5,31
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-1 шт,2,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-3d,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-3д,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-ai,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-cdr,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-gmp,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-ozon,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-pdf,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-png,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-psd,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-wb,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-wildberries,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-youtube,1,8
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-авито,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-бесплатно,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-бесплатный макет,2,17
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-бу,1,3
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-бумага,1,7
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-вайлдберриз,1,12
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-вакансии,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-видео,1,6
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-википедия,1,10
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-вода,1,5
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-выкройка,1,9
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-где,1,4
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-где упаковать,2,14
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-готовое решение,2,16
710718813.xlsx,Единая перфоманс-кампания,Группа,5760364449,Подарочная упаковка (Ключи),5,-готовый,1,8
